,x,y,z
154,-4118.6720789979445,2540.917189527661,-4950.632678670348
155,-2773.3187780394364,6562.637032649553,-501.48965771098347
156,-2773.3187780394364,6562.637032649553,-501.48965771098347
157,-1754.4824498883793,2794.1826156299694,-6065.777806356456
158,-1265.8907414341104,1141.8360726150763,7898.220362920385
159,-1265.8907414341104,1141.8360726150763,7898.220362920385
160,-4306.377235914899,2416.5579446539873,-4851.7300469121
161,-1706.6221797749943,5375.100788754366,-4581.509265407881
162,3298.838873847107,5201.25886926965,2888.498005980839
163,6892.506162764401,246.93710554677514,739.1880336571652
164,3808.488324954197,3402.459905138725,-4673.5165086118195
165,1881.8814433790756,-2788.3234297044864,6304.474657577311
166,1881.8814433790756,-2788.3234297044864,6304.474657577311
167,3717.8742116747535,1551.3096668920473,-6061.569511695537
168,2168.4842938956017,-4716.5941301386365,-4580.153676474995
169,5286.31133120972,-4145.874248324527,1503.6633007119815
170,5286.31133120972,-4145.874248324527,1503.6633007119815
171,-5154.397922458889,442.87614436433216,-4599.872485317334
172,-5154.397922458889,442.87614436433216,-4599.872485317334
173,-319.824079864341,4435.922981385635,5686.017128346449
174,-5819.032716690143,10392.012291672861,22731.733992048776
175,-5819.137816967378,10392.00724657154,22731.71441036006
176,-2926.633597703788,5819.866063161976,-2359.2770331143697
177,706.4506553683809,-6499.466519935304,-2295.2647061318166
178,22030.416930917792,-7593.95732524702,351.4596760055446
179,22030.416930917792,-7593.95732524702,351.4596760055446
180,236.4013778749265,1048.7475294061255,7243.786785656277
181,39846.16611923794,14702.770293023366,-2185.1652752143764
182,39846.16611923794,14702.770293023366,-2185.1652752143764
183,6434.775188232711,1232.7385541600129,-2248.5219584541733
184,-1518.0443928832442,240.21347351918863,-6922.51449335746
185,-4579.741752016877,4825.164895834876,-1932.8257387686886
186,6161.465032330975,2585.727294896007,-1828.5820183773808
187,-3374.0207928840864,4621.685176775112,3956.8619015080676
188,-3374.0207928840864,4621.685176775112,3956.8619015080676
189,1617.3149368550953,-1898.8938874505309,6699.7406125099005
190,-3742.1018840215697,4083.3391235817403,-4152.342648748963
191,-6173.750044810919,2652.6363331203015,-1683.3042649662136
192,1996.219095129516,-2033.348576243551,6527.065977908813
193,1996.219095129516,-2033.348576243551,6527.065977908813
194,4871.540079803392,-1759.0651531667604,5038.421355057688
195,4871.540079803392,-1759.0651531667604,5038.421355057688
196,-4648.104972051864,3216.871171559343,-3995.766048806447
197,1114.1874396035405,6669.644450223633,-1505.0939607844566
198,6649.013971582129,1234.5705927082922,-1503.4645381805242
199,-4396.0236919076515,911.7864774238881,-5745.127213515319
200,-42174.27543732806,1305.8671025788606,-298.89822238292277
201,-42174.27543732806,1305.8671025788606,-298.89822238292277
